Time,Emotion
2024-07-12 02:01:32,fear
2024-07-12 02:01:32,fear
2024-07-12 02:01:33,fear
2024-07-12 02:01:33,sad
2024-07-12 02:01:33,sad
2024-07-12 02:01:34,sad
2024-07-12 02:01:34,neutral
2024-07-12 02:01:35,angry
2024-07-12 02:01:35,neutral
2024-07-12 02:01:36,neutral
2024-07-12 02:01:36,angry
2024-07-12 02:01:37,neutral
2024-07-12 02:01:37,neutral
2024-07-12 02:01:38,neutral
2024-07-12 02:01:38,neutral
2024-07-12 02:01:39,neutral
2024-07-12 02:01:39,neutral
2024-07-12 02:01:40,neutral
2024-07-12 02:01:40,neutral
2024-07-12 02:01:41,neutral
2024-07-12 02:01:42,neutral
2024-07-12 02:01:42,neutral
2024-07-12 02:01:43,neutral
2024-07-12 02:01:44,neutral
2024-07-12 02:01:44,neutral
2024-07-12 02:01:45,neutral
2024-07-12 02:01:45,neutral
2024-07-12 02:01:46,neutral
2024-07-12 02:01:47,neutral
2024-07-12 02:01:47,neutral
2024-07-12 02:01:48,neutral
2024-07-12 02:01:48,neutral
